id,shift_id,base_pay,drink_back,champagne_back,honshimei_back,douhan_back,transport_deduction,tax_deduction,total_pay,calculated_at
1,1,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.769860
2,2,0,11200,4000,0,0,0,0,15200,2026-03-31 18:00:42.774919
3,3,0,5600,2000,0,0,0,0,7600,2026-03-31 18:00:42.779748
4,4,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:42.782379
5,5,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:42.782379
6,6,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.782379
7,7,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.795516
8,8,0,4000,0,0,0,0,0,4000,2026-03-31 18:00:42.795516
9,9,0,3800,1000,0,0,0,0,4800,2026-03-31 18:00:42.795516
10,10,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:42.795516
11,11,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.813058
12,12,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.817997
13,13,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.819796
14,14,0,4200,0,0,0,0,0,4200,2026-03-31 18:00:42.824618
15,15,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.831341
16,16,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.836609
17,17,0,4800,0,0,0,0,0,4800,2026-03-31 18:00:42.836609
18,18,0,3200,0,0,0,0,0,3200,2026-03-31 18:00:42.844699
19,19,0,3200,0,0,0,0,0,3200,2026-03-31 18:00:42.847539
20,20,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.849324
21,21,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.852913
22,22,0,4400,0,0,0,0,0,4400,2026-03-31 18:00:42.852913
23,23,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.861008
24,24,0,700,0,0,0,0,0,700,2026-03-31 18:00:42.861008
25,25,0,700,0,0,0,0,0,700,2026-03-31 18:00:42.869150
26,26,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.869150
27,27,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.869150
28,28,0,5600,0,0,0,0,0,5600,2026-03-31 18:00:42.869150
29,29,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:42.869150
30,30,0,2800,0,0,0,0,0,2800,2026-03-31 18:00:42.885091
31,31,0,4000,0,0,0,0,0,4000,2026-03-31 18:00:42.885091
32,32,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.885091
33,33,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:42.885091
34,34,0,6800,0,0,0,0,0,6800,2026-03-31 18:00:42.900994
35,35,0,9600,0,0,0,0,0,9600,2026-03-31 18:00:42.900994
36,36,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.900994
37,37,0,5600,0,0,0,0,0,5600,2026-03-31 18:00:42.900994
38,38,0,4400,0,0,0,0,0,4400,2026-03-31 18:00:42.900994
39,39,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.917114
40,40,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.917114
41,41,0,800,0,0,0,0,0,800,2026-03-31 18:00:42.917114
42,42,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:42.917114
43,43,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.917114
44,44,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.932851
45,45,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:42.932851
46,46,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.932851
47,47,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:42.932851
48,48,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.932851
49,49,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.948621
50,50,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.948621
51,51,0,6800,0,0,0,0,0,6800,2026-03-31 18:00:42.948621
52,52,0,3200,0,0,0,0,0,3200,2026-03-31 18:00:42.948621
53,53,0,2800,0,0,0,0,0,2800,2026-03-31 18:00:42.948621
54,54,0,6000,0,0,0,0,0,6000,2026-03-31 18:00:42.964524
55,55,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:42.964524
56,56,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.964524
57,57,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:42.964524
58,58,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.964524
59,59,0,2800,0,0,0,0,0,2800,2026-03-31 18:00:42.980463
60,60,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:42.980463
61,61,0,800,0,0,0,0,0,800,2026-03-31 18:00:42.980463
62,62,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:42.980463
63,63,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.980463
64,64,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:42.996188
65,65,0,400,0,0,0,0,0,400,2026-03-31 18:00:42.996188
66,66,0,0,0,0,0,0,0,0,2026-03-31 18:00:42.996188
67,67,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:42.996188
68,68,0,1800,0,0,0,0,0,1800,2026-03-31 18:00:43.012146
69,69,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.012146
70,70,0,2700,0,0,0,0,0,2700,2026-03-31 18:00:43.012146
71,71,0,7900,0,0,0,0,0,7900,2026-03-31 18:00:43.012146
72,72,0,3000,0,0,0,0,0,3000,2026-03-31 18:00:43.012146
73,73,0,7000,0,0,0,0,0,7000,2026-03-31 18:00:43.028347
74,74,0,1100,0,0,0,0,0,1100,2026-03-31 18:00:43.028347
75,75,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:43.028347
76,76,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.028347
77,77,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.028347
78,78,0,6600,0,0,0,0,0,6600,2026-03-31 18:00:43.044148
79,79,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.044148
80,80,0,4400,0,0,0,0,0,4400,2026-03-31 18:00:43.044148
81,81,0,9200,0,0,0,0,0,9200,2026-03-31 18:00:43.044148
82,82,0,5000,0,0,0,0,0,5000,2026-03-31 18:00:43.044148
83,83,0,2200,0,0,0,0,0,2200,2026-03-31 18:00:43.044148
84,84,0,1500,0,0,0,0,0,1500,2026-03-31 18:00:43.060091
85,85,0,6300,0,0,0,0,0,6300,2026-03-31 18:00:43.060091
86,86,0,3000,0,0,0,0,0,3000,2026-03-31 18:00:43.060091
87,87,0,2800,0,0,0,0,0,2800,2026-03-31 18:00:43.060091
88,88,0,3300,900,0,0,0,0,4200,2026-03-31 18:00:43.060091
89,89,0,800,0,0,0,0,0,800,2026-03-31 18:00:43.075869
90,90,0,4000,0,0,0,0,0,4000,2026-03-31 18:00:43.075869
91,91,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.075869
92,92,0,4100,900,0,0,0,0,5000,2026-03-31 18:00:43.075869
93,93,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.075869
94,94,0,4600,2200,0,0,0,0,6800,2026-03-31 18:00:43.091677
95,95,0,6100,800,0,0,0,0,6900,2026-03-31 18:00:43.091677
96,96,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.091677
97,97,0,3000,2200,0,0,0,0,5200,2026-03-31 18:00:43.091677
98,98,0,5200,0,0,0,0,0,5200,2026-03-31 18:00:43.108130
99,99,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.112570
100,100,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.115391
101,101,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.120399
102,102,0,2400,0,0,0,0,0,2400,2026-03-31 18:00:43.124005
103,103,0,800,0,0,0,0,0,800,2026-03-31 18:00:43.124653
104,104,0,1600,0,0,0,0,0,1600,2026-03-31 18:00:43.124653
105,105,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.124653
106,106,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.124653
107,107,0,800,0,0,0,0,0,800,2026-03-31 18:00:43.124653
108,108,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:43.139252
109,109,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.142367
110,110,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.142367
111,111,0,1200,0,0,0,0,0,1200,2026-03-31 18:00:43.142367
112,112,0,400,0,0,0,0,0,400,2026-03-31 18:00:43.155005
113,113,0,3200,0,0,0,0,0,3200,2026-03-31 18:00:43.155005
114,114,0,2800,0,0,0,0,0,2800,2026-03-31 18:00:43.155005
115,115,0,5600,0,0,0,0,0,5600,2026-03-31 18:00:43.155005
116,116,0,3000,0,0,0,0,0,3000,2026-03-31 18:00:43.155005
117,117,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.155005
118,118,0,400,0,0,0,0,0,400,2026-03-31 18:00:43.170737
119,119,0,2200,0,0,0,0,0,2200,2026-03-31 18:00:43.170737
120,120,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:43.170737
121,121,0,3600,0,0,0,0,0,3600,2026-03-31 18:00:43.170737
122,122,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.170737
123,123,0,7000,3000,0,0,0,0,10000,2026-03-31 18:00:43.186504
124,124,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.186504
125,125,0,500,0,0,0,0,0,500,2026-03-31 18:00:43.192628
126,126,0,1000,0,0,0,0,0,1000,2026-03-31 18:00:43.192628
127,127,0,6500,1500,0,0,0,0,8000,2026-03-31 18:00:43.192628
128,128,0,5000,0,0,0,0,0,5000,2026-03-31 18:00:43.202232
129,129,0,4000,1500,0,0,0,0,5500,2026-03-31 18:00:43.202232
130,130,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.202232
131,131,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.202232
132,132,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.202232
133,133,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.218141
134,134,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.218141
135,135,0,3300,0,0,0,0,0,3300,2026-03-31 18:00:43.218141
136,136,0,11100,500,0,0,0,0,11600,2026-03-31 18:00:43.218141
137,137,0,9500,6000,0,0,0,0,15500,2026-03-31 18:00:43.218141
138,138,0,6400,500,0,0,0,0,6900,2026-03-31 18:00:43.234222
139,139,0,6500,3000,0,0,0,0,9500,2026-03-31 18:00:43.234222
140,140,0,1900,0,0,0,0,0,1900,2026-03-31 18:00:43.242874
141,141,0,0,0,0,0,0,0,0,2026-03-31 18:00:43.242874
142,142,0,500,0,0,0,0,0,500,2026-03-31 18:00:43.242874
143,143,0,5900,0,0,0,0,0,5900,2026-03-31 18:00:43.250759
144,144,0,2000,0,0,0,0,0,2000,2026-03-31 18:00:43.250759
145,145,0,3000,0,0,0,0,0,3000,2026-03-31 18:00:43.250759
146,146,0,1000,0,0,0,0,0,1000,2026-03-31 18:00:43.250759
147,147,0,3400,0,0,0,0,0,3400,2026-03-31 18:00:43.250759
