id,cast_id,store_id,date,planned_start,planned_end,actual_start,actual_end,is_late,is_absent,help_from_store_id,notes,shift_data,help_cast_name
1,3,1,2026-02-01,,,2026-02-01 20:00:00.000000,2026-02-02 00:00:00.000000,0,0,,,"{""set_l"": 2.0, ""set_mg"": 2.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 12, ""drink_back"": 2400, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 30, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
2,4,1,2026-02-01,,,2026-02-01 22:00:00.000000,2026-02-02 05:00:00.000000,0,0,,,"{""set_l"": 8.0, ""set_mg"": 5.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 40.0, ""champagne_back"": 4000, ""drink_count"": 76, ""drink_back"": 11200, ""daily_payment"": 7000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 7.0}",
3,5,1,2026-02-01,,,2026-02-02 00:00:00.000000,2026-02-02 05:30:00.000000,0,0,,,"{""set_l"": 7.0, ""set_mg"": 1.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 20.0, ""champagne_back"": 2000, ""drink_count"": 38, ""drink_back"": 5600, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.5}",
4,6,1,2026-02-01,,,2026-02-02 02:30:00.000000,2026-02-02 05:00:00.000000,0,0,,,"{""set_l"": 3.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 6, ""drink_back"": 1200, ""daily_payment"": 4600, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": ""\u30e9\u30c6"", ""help_hourly_rate"": 1500, ""working_hours"": 2.5}",
5,7,1,2026-02-01,,,2026-02-02 02:30:00.000000,2026-02-02 05:00:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 2.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 10, ""drink_back"": 2000, ""daily_payment"": 5100, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": ""\u30e9\u30e9"", ""help_hourly_rate"": 1400, ""working_hours"": 2.5}",
6,8,1,2026-02-01,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
7,9,1,2026-02-01,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
8,10,1,2026-02-02,,,2026-02-02 19:00:00.000000,2026-02-03 00:00:00.000000,0,0,,,"{""set_l"": 6.0, ""set_mg"": 2.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 20, ""drink_back"": 4000, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 70, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
9,5,1,2026-02-02,,,2026-02-02 22:30:00.000000,2026-02-03 04:00:00.000000,0,0,,,"{""set_l"": 5.0, ""set_mg"": 1.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 10.0, ""champagne_back"": 1000, ""drink_count"": 24, ""drink_back"": 3800, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 3, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.5}",
10,11,1,2026-02-02,,,2026-02-03 01:00:00.000000,2026-02-03 04:00:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 1.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 6, ""drink_back"": 1200, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 3.0}",
